hub_name,beat_index,daily_beat,shipments,old_dailybeat,flag
SatelliteHub_BTL,10.4,0,26.9,0,0
Satellitehub_HAR,5.3,0,13.1,0,0
SatelliteHub_BHO,1.2,0.76,167.3,0.9,0
Satellitehub_GNJB,4.6,0,30.8,0,0
Satellitehub_SJP,4.6,0,38.6,0,0
SATELLITEHUB_SGO,4.1,0,50.4,0,0
SatelliteHub_GNA,4.1,0,43.2,0,0
SatelliteHub_GWL,2.2,0.29,92.4,0.75,0
SatelliteHub_FKGWL,1.7,0,83.6,0.53,0
Satellitehub_SEO,2.6,0,39.8,0,0
SatelliteHub_SASR,3,0,11.8,0,0
Satellitehub_BLB,2.1,0,16.9,0,0
Satellitehub_JLR,1.7,0.54,120.7,0.81,0
SatelliteHub_KTN,2.5,0,28.1,0,0
Satellitehub_SHDL,2.6,0,27.1,0,0
Satellitehub_REV,1.7,0.55,63.4,0,1
Satellitehub_WDN,1.7,0.8,36.8,0,1
SatelliteHub_BIL1,3.1,0.3,111.1,0.58,0
SatelliteHub_KBA,4.2,0,41.2,0.79,0
SATELLITEHUB_FKRIG,3.6,0.53,69.3,0.57,0
Satellitehub_FKAKP,4.4,0,48.4,0.5,0
Satellitehub_CHM,1.5,0.28,117.4,1,0
Satellitehub_NCRKMG,1.2,0.55,102.9,1,0
Satellitehub_HYD,1.4,0.65,283.6,1,0
Satellitehub_NCR2,1,1,168.2,1,0
Satellitehub_FKHYDU,1.4,0.45,146.5,1,0
Satellitehub_HYDBL,1.5,0.75,139.7,1,0
Satellitehub_HYDM,1.4,0.68,137.7,1,0
Satellitehub_NCR,1.4,0.36,233.8,1,0
Satellitehub_FKGOL,1.4,0.45,148,1,0
Satellitehub_FKHYD1,1.4,0.35,97.4,1,0
Satellitehub_HYDECL,1.5,0.7,89,0.81,0
SATELLITEHUB_GJL,2.8,0,61.6,0,0
Satellitehub_HYD1,1.4,0.76,208.3,1,0
Satellitehub_SGR,2.3,0.38,93.3,0,1
SATELLITEHUB_HMBD,2.4,0,87.5,0.55,0
Satellitehub_JDC,1.5,0,70.2,0.73,0
Satellitehub_FKBOL,1.1,0.7,87.5,1,0
Satellitehub_NZM,2,0,17.3,0.47,0
SatelliteHub_NIR,2.4,0,58.3,0,0
Satellitehub_ADB,,,0,0,0
Satellitehub_MCL,2.4,0.51,109.5,0,1
Satellitehub_FKKRM,2.3,0.29,121.7,0.77,0
SATELLITEHUB_WRG,3.4,0,103.3,0.26,0
SATELLITEHUB_WRG1,2.5,0,14,0.96,0
Satellitehub_KMM,3.1,0,66.5,0,0
Satellitehub_KGM,2.1,0,65.2,0.4,0
Satellitehub_STPL,2.2,0,31.9,0,0
SATELLITEHUB_VZA,2.2,0.3,111.3,0.72,0
Satellitehub_NGD,2.1,0,16.6,0,0
Satellitehub_SPT,1.7,0,84,0.74,0
Satellitehub_GDL,3,0,46.8,0,0
SATELLITEHUB_RCH,5.8,0,30.3,0.54,0
SATELLITEHUB_PNK,3.7,0,47.3,0,0
SATELLITEHUB_MPY,2.5,0.41,67.1,0.41,0
SATELLITEHUB_FKKDP,1.7,0.26,121.1,0.87,0
SATELLITEHUB_FKSKH,1.8,0.55,191.8,0.81,0
SATELLITEHUB_RCTY,2.3,0.75,45.6,0.58,1
SATELLITEHUB_PDT,2.1,0.52,67.3,0.52,0
SATELLITEHUB_ARK,1.8,0,99,0.51,0
Satellitehub_NPT,1.6,0,86.8,0.29,0
SATELLITEHUB_KRN,2.3,0.28,103.8,0.64,0
SATELLITEHUB_NDY,2.5,0.5,68.1,0.48,1
Satellitehub_ADON,3.5,0,39.9,0,0
SATELLITEHUB_VZAA,1,1,56.9,0.87,1
SATELLITEHUB_GWDF1,3.6,0,78.7,0.53,0
SATELLITEHUB_ERU,1.7,0.4,83.7,0.5,0
Satellitehub_TEL,1,1,28.8,0.62,1
SATELLITEHUB_BMV,1.9,0.73,91.9,0.31,1
SATELLITEHUB_FKGTR,1.7,0.37,159.7,0.67,0
SATELLITEHUB_CRL,3,0,47.1,0,0
Satellitehub_MCRL,3.9,0,35.9,0,0
SATELLITEHUB_FKONG,2.5,0.25,124.7,0.53,0
Satellitehub_CMBM,5.1,0,41.1,0,0
SatelliteHub_NLR,2.1,0.43,142.7,0.81,0
SATELLITEHUB_VSPA,1.8,0.28,117.7,1,0
SATELLITEHUB_VSP,1.5,0.33,89.2,1,0
SATELLITEHUB_VSP2,1.9,0.24,127.2,0.89,0
SATELLITEHUB_KTP,1.5,0.37,92.6,0,1
SATELLITEHUB_SKM,1.8,0,77.1,0,0
Satellitehub_RJM,3.5,0,40.2,0,0
Satellitehub_PLS,1.9,0,56.6,0,0
SATELLITEHUB_FKKKD,1.2,0.79,157,0.91,0
SatelliteHub_FKRJY,1.4,0.44,145.4,0.54,0
SATELLITEHUB_AML,1.6,0.49,62.5,0,1
SATELLITEHUB_FKTKU,,,0,0.56,0
Satellitehub_VZN,2,0,70.1,0.53,0
Satellitehub_BBL,1.7,0,41.9,0,0
Satellitehub_FKHAL,1.2,0.77,156,1,0
SATELLITEHUB_FKRRN,1.2,0.82,184.5,1,0
Satellitehub_YWP,1.1,0.83,292.3,0.94,0
SATELLITEHUB_RTN,1.4,0.81,194.2,1,0
Satellitehub_MAG,1.3,0.78,143.3,0.94,0
